,Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality,screen_name
621,BonderjoJosie,1,0,1,964,0,964,0,0,0,0,21,4.70E-05,0.000832,0,0,775,0,0.005761,Vernon_Coaker
622,AlisonKMurray,1,0,1,9767,0,9767,0,0,0,0,21,4.70E-05,0.000832,0,0,774,0,0.005761,mgshanks
623,DrAshrafChohan,2,0,2,68086,0,68086,0,0,0,0,21,4.90E-05,0.001178,0,0,773,0,0.015172,bellrebeccabell
624,AccountantAAT,1,0,1,202,0,202,0,0,0,0,21,4.70E-05,0.000832,0,0,772,0,0.005761,Baz_k
625,PaulDaviesPPI,1,0,1,111,0,111,0,0,0,0,21,4.70E-05,0.000832,0,0,771,0,0.005761,AnitadayA
626,DianeWaddingto1,1,0,1,255,0,255,0,0,0,0,21,4.70E-05,0.000832,0,0,770,0,0.005761,cs_adams
627,AbbiesBananas,1,0,1,1054,0,1054,0,0,0,0,21,4.70E-05,0.000832,0,0,769,0,0.005761,AnimalsCount
628,MacularSociety,1,0,1,9547,0,9547,0,0,0,0,21,4.70E-05,0.000832,0,0,768,0,0.005761,HenleyStatic
629,realdavedoubleu,5,0,5,43909,0,43909,0,0,0,0,68,7.50E-05,0.001685,0,0,767,0,0.028805,GreenJamesRob
630,JohnDee50633759,1,0,1,4,0,4,0,0,0,0,21,4.70E-05,0.000832,0,0,766,0,0.005761,Jamesdbaker1
631,Emma4facs,3,0,3,8796,0,8796,0,0,0,0,68,5.10E-05,0.00191,0,0,765,0,0.017283,rsbate
632,livvi_t,1,0,1,308,0,308,0,0,0,0,21,4.70E-05,0.000832,0,0,764,0,0.005761,hammersmithandy
633,Shane25l,1,0,1,758,0,758,0,0,0,0,21,4.70E-05,0.000832,0,0,763,0,0.005761,kirstyrallan
634,ShakilbuttAhmad,4,0,4,33474,0,33474,0,0,0,0,21,5.10E-05,0.002765,0,0,762,0,0.023044,ClaireLLeyland
635,youngGMBER,1,0,1,858,0,858,0,0,0,0,21,4.70E-05,0.000832,0,0,761,0,0.005761,PhilWaiteHw
636,tapdick,1,0,1,424,0,424,0,0,0,0,21,4.70E-05,0.000832,0,0,760,0,0.005761,HerefordLabour
