screen_name,device_count,fav_avg,fav_max,fav_std,fav_total,len_mean,rt_avg,rt_max,rt_std,rt_total,time_delta,follower,friends,eleted
Kristoforbrown,4,1.065594059,230,8.560466606,861,103.4542079,1061.622525,212163,10764.79415,857791,0.453531599,1315,996,1
SeguraLiverpool,6,2.297746145,178,8.394645084,1937,85.87069988,361.7829181,150383,5503.242112,304983,0.434679335,2300,2802,0
lucianaberger,7,33.47102526,2257,143.3321027,22526,109.0326895,643.2065379,324791,12597.05459,432878,0.25297619,5000,5000,1
granted76,3,1.042808219,57,3.485766016,609,121.0171233,147.869863,37087,1688.57588,86356,0.591766724,428,1112,1
Dunne4Ludlow,6,6.028846154,105,9.462178488,2508,128.7259615,5.949519231,277,18.24683455,2475,0.879518072,5000,821,1
dean_r,6,1.306034483,76,5.707402767,303,125.0689655,354.1508621,24757,2200.654802,82163,1.571428571,3150,2660,1
CllrPauline,6,0.350961538,8,1.040940329,73,104.5048077,57.34134615,4573,354.3926601,11927,1.753623188,657,645,1
iainastewart,5,3.445378151,72,7.392589384,820,108.0588235,39.02941176,4988,331.9289485,9289,1.52742616,5000,456,0
ruthjoneswales,6,2.392070485,85,7.542568104,543,119.2202643,353.9162996,22991,1843.657963,80339,1.601769912,751,174,1
RobertJenrick,3,3.547692308,222,10.46309913,3459,122.0564103,99.24,18684,789.2697669,96759,0.374743326,5000,993,1
pippabartolotti,7,1.545195052,29,2.591540662,1624,119.7164605,30.2074215,16390,509.0444293,31748,0.347619048,2839,1181,1
caoimhemcneill,5,1.339705882,51,3.570822928,911,111.4897059,285.8088235,139946,5442.235501,194350,0.537555228,1439,2027,1
AndrewMuirNI,6,2.417769376,58,5.513289147,2558,117.8742911,2614.787335,544952,25268.95343,2766445,0.346263009,3443,1434,1
KevanJonesMP,4,5.302816901,107,8.526393243,2259,99,27.76525822,3816,229.1803446,11828,0.856470588,5000,5000,0
dougmswanney,7,1.375,83,5.96094644,737,125.8283582,1944.850746,426514,19986.62041,1042440,0.68411215,470,285,0
Robin34t,5,0.147826087,2,0.461443449,17,109.3565217,835.3043478,35252,3732.780929,96060,2.921052632,256,104,0
Charley_P,4,1.443309499,148,7.363438631,1413,128.351379,895.8539326,127527,6342.080837,877041,0.372188139,1318,1321,1
JustinTomlinson,4,3.269754768,129,9.781578398,2400,119.9822888,257.6839237,129444,4803.309073,189140,0.499317872,5000,1675,1
garyupnorth,5,0.327260459,24,1.173906209,485,103.0155196,42.68488529,10914,398.6258514,63259,0.247130317,320,233,0
ALewerMBE,7,1.257440476,31,2.874472725,845,117.7916667,104.7470238,24810,1035.758911,70390,0.543964232,2628,2898,1
HughinNorfolk,6,0.137096774,4,0.528764193,17,107.0806452,507.2096774,50419,4519.25133,62894,2.707317073,781,1338,0
hollidb,2,0.180061038,14,0.858876929,177,122.3072228,188.8433367,36672,1326.959674,185633,0.33095723,515,104,0
Yellowsiskin,3,0.348754448,8,0.939110778,98,115.5017794,550.9074733,33741,2638.060424,154805,1.292857143,500,1330,0
TamaraGalloway,3,0.308823529,4,0.712438913,21,109.4264706,37.69117647,1207,176.5685384,2563,5.358208955,141,117,0
JohnnyMercerUK,7,15.77586207,966,52.63299588,11895,116.8541114,37.62997347,4988,273.759158,28373,0.132802125,5000,1268,0
esbagshaw,7,3.334482759,121,9.507085411,1934,117.7534483,210.1465517,20923,1515.620445,121885,0.041450777,5000,3047,1
FitzMP,7,2.109630527,73,5.539635111,3483,123.3349485,51.97819503,49673,1246.289922,85816,0.221818182,720,1012,1
geraldvjuk,5,4.520215633,77,7.571153651,1677,123.5229111,70.25876011,8515,559.7010108,26066,0.989189189,5000,1641,1
RhonddaPlaid,5,0.903737259,75,5.699219877,798,131.8414496,136.3590034,22808,1225.502846,120405,0.411564626,777,1416,1
KarenClydach,7,0.381492537,12,0.918540786,639,103.5838806,175.1570149,49673,1650.237631,293388,0.218637993,453,187,1
JesmondDan,6,0.591836735,25,2.158215129,145,125.2734694,955.3918367,159053,10210.26156,234071,1.463114754,1407,2359,1
JamesDuddridge,7,3.773978315,1402,43.06671656,4525,124.0358632,150.9908257,15414,629.3849778,181038,0.305509182,1113,893,1
PhilipHammondUK,3,78.03676471,729,84.76051107,31839,130.7965686,69.72058824,1499,125.0903218,28446,0.899262899,4929,1386,0
RLong_Bailey,7,21.57775255,1591,94.08426515,19010,106.1464245,195.4472191,25595,1220.117444,172189,0.414772727,5000,1902,1
paulsample2020,7,1.060572687,57,3.429219563,963,91.83259912,53.53744493,4761,277.6481422,48612,0.302094818,870,1259,0
PaulBlomfieldMP,6,5.853535354,67,8.087043049,4636,120.8661616,23.88636364,6925,288.5685846,18918,0.462705436,398,845,1
nick_clegg,5,387.6876972,7999,819.9660724,122897,130.2113565,345.4006309,4495,502.1682141,109492,1.158227848,1642,1219,0
HannahFAbbey,6,0.173267327,16,0.99570607,105,120.1815182,577.3283828,148543,6627.69308,349861,0.601652893,356,267,0
markblackburn,7,1.128818061,142,5.41657785,850,114.9907039,103.499336,41746,1564.559813,77935,0.48537234,623,677,0
RobPearson_1,6,0.941463415,12,1.883558595,193,110.2390244,436.6829268,41750,3080.734132,89520,1.779411765,369,1150,1
catherinerowett,4,0.237712243,14,0.881123939,266,119.4593387,1415.252904,440268,16549.6798,1583668,0.325581395,2753,2604,1
