screen_name,device_count,fav_avg,fav_max,fav_std,fav_total,len_mean,rt_avg,rt_max,rt_std,rt_total,time_delta,follower,friends,eleted
KristyAdamsBlue,4,1.502164502,24,3.249874402,347,111.8787879,94.72727273,7441,608.7798734,21882,0.395652174,899,745,0
pbullenUKIP,2,0.041666667,2,0.237901707,5,124.1666667,495.4583333,5792,857.1234732,59455,0.756302521,435,143,0
RichBJC,2,0.300395257,11,0.957949805,152,111.4486166,2893.037549,303005,19695.67439,1463877,0.184158416,1011,2422,0
mgrobb,3,1.712230216,24,3.320406936,238,121.7194245,337.5899281,12246,1485.170314,46925,0.637681159,529,472,0
NBelfitt,4,0.804878049,16,2.563529505,66,118.6219512,16.57317073,449,69.72227668,1359,1.12345679,332,327,0
VixL,4,4.270531401,203,14.57826624,2652,117.1771337,237.0950081,56282,2705.007187,147236,0.148387097,3323,3468,0
jeremycorbyn,5,2555.316306,58831,5461.038707,2601312,134.6168959,1610.113949,25595,2670.48858,1639096,0.091445428,5000,2439,0
MrKeithFraser,2,1.454545455,5,1.499311137,16,98.63636364,8.636363636,88,25.1767307,95,4,433,410,0
jarrowstevemp,2,11.04081633,86,16.19770604,541,121,7.285714286,76,12.9125789,357,1.9375,2836,117,0
CarlCashman,1,3.818950931,453,22.69698981,2257,99.91708968,116.037225,51811,2138.706455,68578,0.157627119,3614,1093,0
PatCatney,4,3.588652482,52,7.532502548,506,126.1134752,89.46808511,5048,566.2046037,12615,0.664285714,1468,445,0
J_Donaldson_MP,3,4.568322981,352,22.80698085,1471,130.9099379,256.5962733,24757,1678.878294,82624,0.289719626,5000,746,0
Andrew_Hilland,5,7.786764706,42,9.113990609,1059,125.8308824,2000.588235,218525,18827.03207,272080,0.288888889,781,1981,0
MrMatt_Robinson,4,0.620396601,22,2.116395691,219,120.427762,3346.86119,1086063,57730.16207,1181442,0.264204545,1135,664,0
yorksgreenmarti,2,0.620689655,5,0.997022917,18,106.3793103,69.75862069,1377,254.6843422,2023,3.071428571,180,58,0
RKilpatrickMCR,2,0.741935484,7,1.343268569,46,124.8870968,68.87096774,1349,226.2228051,4270,1.491803279,594,341,0
benjaminsims,2,1.391752577,19,3.108208955,135,117.4948454,71.6185567,2120,313.4386421,6947,0.729166667,554,589,0
rob_pass_green,2,0.846153846,8,1.585809856,66,123.0641026,3298.435897,225278,25357.59085,257278,1.168831169,455,723,0
joancoombes,4,0.461538462,4,1.082403637,6,104.2307692,43.69230769,349,103.4232414,568,4.75,47,40,0
NickyMorgan01,4,8.422993492,479,31.13878096,3883,108.7592191,44.98264642,2128,191.1531728,20737,0.202173913,5000,1098,0
CllrRFM,2,0.636363636,6,1.03332889,35,121.0909091,15.81818182,816,108.9467077,870,1.425925926,297,428,0
